tweet_id,favorites,retweets,user_followers,user_favourites,date_time
848324959059550208,26196,5011,6555950,132912,2017-04-02 00:03:26
848213670039564288,8659,814,6555951,132912,2017-04-01 16:41:12
848212111729840128,17304,3357,6555952,132912,2017-04-01 16:35:01
847978865427394560,0,3557,6555952,132912,2017-04-01 01:08:10
847971574464610304,0,467,6555952,132912,2017-04-01 00:39:12
847962785489326080,24865,5588,6555952,132912,2017-04-01 00:04:17
847842811428974592,5824,1470,6555952,132912,2017-03-31 16:07:33
847617282490613760,7433,457,6555952,132912,2017-03-31 01:11:22
847606175596138505,19870,3681,6555952,132912,2017-03-31 00:27:14
847251039262605312,21638,4675,6555952,132912,2017-03-30 00:56:03
847157206088847362,21198,6394,6555953,132912,2017-03-29 18:43:12
847116187444137987,22727,3487,6555953,132912,2017-03-29 16:00:12
846874817362120707,21308,4296,6555954,132912,2017-03-29 00:01:05
846514051647705089,47498,12701,6555954,132912,2017-03-28 00:07:32
846505985330044928,15034,3391,6555954,132912,2017-03-27 23:35:28
846153765933735936,33739,9904,6555954,132912,2017-03-27 00:15:53
846139713627017216,32726,10730,6555955,132912,2017-03-26 23:20:02
846042936437604353,16990,3148,6555955,132912,2017-03-26 16:55:29
845812042753855489,31156,9577,6555955,132912,2017-03-26 01:38:00
845677943972139009,26688,5230,6555955,132912,2017-03-25 16:45:08
845397057150107648,8108,2003,6555956,132912,2017-03-24 22:08:59
845306882940190720,24806,5903,6555956,132912,2017-03-24 16:10:40
845098359547420673,0,8420,6555956,132912,2017-03-24 02:22:04
844979544864018432,14494,2836,6555956,132912,2017-03-23 18:29:57
844973813909606400,16099,3520,6555956,132912,2017-03-23 18:07:10
844704788403113984,41260,11340,6555956,132912,2017-03-23 00:18:10
844580511645339650,17533,3436,6555956,132912,2017-03-22 16:04:20
844223788422217728,14515,2405,6555956,132912,2017-03-21 16:26:50
843981021012017153,16080,3203,6555956,132912,2017-03-21 00:22:10
843856843873095681,22805,5086,6555957,132912,2017-03-20 16:08:44
843604394117681152,17996,3004,6555957,132912,2017-03-19 23:25:35
843235543001513987,22919,6653,6555958,132912,2017-03-18 22:59:54
842846295480000512,16203,3929,6555959,132912,2017-03-17 21:13:10
842765311967449089,7196,1407,6555960,132912,2017-03-17 15:51:22
842535590457499648,19291,3843,6555961,132912,2017-03-17 00:38:32
842163532590374912,26136,6378,6555962,132912,2017-03-16 00:00:07
842115215311396866,14956,3317,6555962,132912,2017-03-15 20:48:07
841833993020538882,0,16970,6555962,132912,2017-03-15 02:10:39
841680585030541313,27376,8531,6555962,132912,2017-03-14 16:01:03
841439858740625411,13513,4056,6555962,132912,2017-03-14 00:04:30
841320156043304961,21075,5966,6555962,132912,2017-03-13 16:08:50
841314665196081154,16970,5178,6555962,132912,2017-03-13 15:47:01
841077006473256960,24511,5837,6555962,132912,2017-03-13 00:02:39
840761248237133825,0,1937,6555962,132912,2017-03-12 03:07:56
840728873075638272,0,17805,6555962,132912,2017-03-12 00:59:17
840698636975636481,195,3,6555962,132912,2017-03-11 22:59:09
840696689258311684,13159,1089,6555965,132912,2017-03-11 22:51:24
840632337062862849,9607,1937,6555965,132912,2017-03-11 18:35:42
840370681858686976,17620,5027,6555965,132912,2017-03-11 01:15:58
840268004936019968,20617,6320,6555966,132912,2017-03-10 18:27:58
839990271299457024,14374,2536,6555966,132912,2017-03-10 00:04:21
839549326359670784,29495,8593,6555966,132912,2017-03-08 18:52:12
839290600511926273,0,156,6555966,132912,2017-03-08 01:44:07
839239871831150596,29143,7230,6555966,132912,2017-03-07 22:22:32
838952994649550848,21010,4398,6555966,132912,2017-03-07 03:22:35
838921590096166913,11970,2294,6555966,132912,2017-03-07 01:17:48
838916489579200512,0,37,6555966,132912,2017-03-07 00:57:32
